id,quote
97,"Opór przeciwko szalejącej powodzi cywilizacji jest daremny i jest bardzo nieubłagany wobec ignorantów i nieposłusznych. W obliczu potęgi i wielkości cywilizacji, która przebija góry, lata w przestworzach, widzi, oświetla i bada wszystko, od niewidzialnych cząstek po gwiazdy, narody, które próbują chodzić z mentalnością średniowiecza i prymitywnymi przesądami, są skazane na śmierć lub przynajmniej na zniewolenie i upokorzenie. Jednak mieszkańcy Republiki Turcji zdecydowali się żyć wiecznie jako innowacyjny i rozwinięty naród i zerwali łańcuchy niewoli z wyjątkowym heroizmem w historii."
98,Niecywilizowani ludzie są skazani na pozostanie pod stopami cywilizowanych.
99,"W sprawach kraju, w sprawach narodu, w prawdziwych sprawach, uczucia, wspomnienia, braterstwo i przyjaźń nie są brane pod uwagę."
100,"Nie mam innego celu niż praca dla zbawienia i szczęścia kraju i narodu. To zapewnia człowiekowi wystarczającą radość i przyjemność. Moi przyjaciele, którzy są ze mną i wszyscy moi współobywatele dążą do tego samego celu. Uświadomili sobie w prawdziwy i poważny sposób, że osobisty i rodzinny pokój i szczęście są możliwe tylko z pokojem i szczęściem narodu oraz bezpieczeństwem i nienaruszalnością kraju. Ja i ci, którzy są ze mną, jesteśmy przekonani o wielkości naszego celu i słuszności naszej drogi. Nie mamy co do tego żadnych wątpliwości ani wahań. Posiadamy niezbędną wiedzę na temat najnowszej i odległej historii naszego narodu, narodu tureckiego. Nie jesteśmy pozbawieni troski o zachowanie lekcji przeszłości w pamięci dla życia teraźniejszości i przyszłości. Nie chełpimy się naszymi zasługami. Pociesza nas nadzieja, że usługi, które będziemy świadczyć, mogą być powodem do dumy."
101,"Nie możemy zamknąć naszego kraju w kręgu i żyć bez znaczenia dla świata. Wręcz przeciwnie, będziemy żyć ponad poziomem cywilizacji jako podniesiony, zaawansowany i cywilizowany naród. Takie życie można osiągnąć tylko dzięki nauce i nauce. Będziemy wszędzie tam, gdzie są nauka i nauka, i wpoimy je w umysły każdego członka narodu. Nie ma żadnych warunków dla nauki i nauki."
102,"Niech naród odzyska niepodległość, a sułtanat oraz najwyższy i wielki kalifat zostaną ocalone od zagłady. Proszę cię, abyś w to uwierzył, deklarując, że moje wieczne oddanie stale rośnie."
103,"Naród przejął suwerenność i zdobył ją poprzez bunt. Suwerenność, która została odebrana, nie może zostać porzucona ani zwrócona z jakiegokolwiek powodu lub w jakikolwiek sposób. Aby odzyskać tę suwerenność, konieczne jest użycie środków, które zostały już użyte."
104,"Wyjaśniłem narodowi, że aby kalif, który jest uważany za odpowiedzialnego za ustanowienie państwa obejmującego cały islam, mógł wypełnić swój obowiązek, państwo tureckie i jego garstka mieszkańców nie mogą podlegać rozkazom kalifa. Naród nie może się na to zgodzić! Naród turecki nie może podjąć się tak wielkiej odpowiedzialności, tak nielogicznego obowiązku. Przez wieki nasz naród kierował się tym niewiarygodnym punktem widzenia. Ale co się stało? Zostawił miliony ludzi, gdziekolwiek się udał. Czy wiesz, ilu anatolijskich synów zginęło na pustyniach Jemenu? Czy wiesz, ilu ludzi zginęło, aby chronić Syrię, Irak, aby znaleźć schronienie w Egipcie, aby utrzymać się w Afryce? Ci, którzy uważają, że kalif powinien zostać wyzwany przez świat i że powinien być odpowiedzialny za wszystkie sprawy islamskie, powinni domagać się tego zadania nie tylko od mieszkańców Anatolii, ale także od wielkich islamskich mas, które są osiem do dziesięciu razy liczniejsze! Nowa Turcja i jej mieszkańcy nie mają już o czym myśleć poza własnym życiem i szczęściem... Złożyłem następujące oświadczenie, aby podkreślić inny punkt w oczach ludzi: Załóżmy na chwilę, powiedziałem, że Turcja akceptuje obowiązek, o którym mowa... Załóżmy na chwilę, powiedziałem, że Turcja akceptuje zadanie, o którym mowa... Niech maszeruje w kierunku celu zjednoczenia całego świata islamskiego w jednym punkcie, a nawet niech odniesie sukces! Bardzo dobrze, ale jeśli narody, które chcemy wziąć pod naszą suwerenność, powiedzą: ""Dziękujemy za wspaniałe usługi i pomoc, ale chcemy pozostać niezależni. Nie uważamy za stosowne, aby ktokolwiek ingerował w naszą niezależność i suwerenność! Jesteśmy zdolni do samostanowienia i samorządności! Czy w takim razie cała praca i poświęcenie narodu tureckiego zostaną poświęcone tylko po to, by otrzymać podziękowania i modlitwy? Widać było, że chcieli zniszczyć naród turecki dla kaprysu, dla złudzenia, dla marzenia. Taka była natura idei nadania obowiązków i uprawnień Kalifatowi i Kalifowi."
105,"Nie ma pana nad narodem; jest służba. Ten, kto służy narodowi, staje się jego panem."
106,Naszym przewodnikiem w życiu politycznym i społecznym naszego narodu oraz w edukacji intelektualnej naszego narodu będzie nauka i technika.
107,"Naszym narodowym ideałem jest rozwijanie wysokiego charakteru, niestrudzonej pracowitości, wrodzonej inteligencji, oddania nauce, miłości do sztuk pięknych i poczucia jedności narodowej naszego narodu poprzez ciągłe pielęgnowanie ich za pomocą wszelkich środków i środków. Ten ideał, który bardzo dobrze pasuje do narodu tureckiego, doprowadzi go do sukcesu w wypełnianiu cywilizowanego obowiązku zapewnienia prawdziwego pokoju dla całej ludzkości."
108,"Losem tych, którzy nie są posłuszni woli i aspiracjom narodu, jest rozczarowanie i unicestwienie."
109,"Narodowe aspiracje i narodowa wola nie są myślami pojedynczej jednostki, ale jednością pragnień i aspiracji wszystkich członków narodu."
110,Jestem winien mojemu sumieniu i honorowi oddanie życia w imię suwerenności narodowej.
111,"Cel narodowy jest jasny. Nie jest trudno znaleźć sposoby na jego osiągnięcie. Ważne jest, aby pracować nad tymi trudnymi ścieżkami. Można powiedzieć, że niczego nie potrzebujemy. Bardzo potrzebujemy tylko jednej rzeczy: Pracowitości. Jeśli przeanalizujemy nasze choroby społeczne, nie możemy odkryć żadnej innej, ważniejszej choroby; to jest choroba. Dlatego naszym pierwszym zadaniem jest leczenie tej choroby w sposób fundamentalny. Uczynić naród pracowitym. Bogactwo i jego naturalna konsekwencja, dobrobyt i szczęście, są prawem pracowitych i tylko pracowitych."
112,"Nie możemy porzucić naszej obrony narodowej, dopóki flagi wrogów nie zostaną wycofane z palenisk naszych ojców. Jesteśmy zobowiązani do kontynuowania naszej walki tak długo, jak żołnierze wroga będą chodzić po świątyniach Stambułu i tak długo, jak stopy obcych ludzi nie zostaną usunięte z ziem naszej ojczyzny."
113,"Ludzie, którzy nie są radośni, są podejrzewani na dwa sposoby. Albo jest chory, albo ma urojenia, o których nie chce informować innych."
114,"Żadna siła nie uratuje narodu, który chce umrzeć. Naród turecki nie chce umierać; zawsze będzie żył, panowie!"
115,Społeczeństwo składające się z ludzi o wspólnej woli ochrony dziedzictwa i utrzymania go razem nazywane jest narodem.
116,"Szczerzy przyjaciele są skazani na tortury przez swoich bliskich, a torturą tą jest słuchanie o kłopotach swoich bliskich."
117,"Szanujemy każdą opinię, pod warunkiem, że jest szczera i uzasadniona. Każda opinia jest dla nas honorowa. Bez względu na to, jak wielkie mogą być zwycięstwa polityczne i militarne, jeśli nie zostaną one zwieńczone zwycięstwami gospodarczymi, zdobyte osiągnięcia nie przetrwają i nie utrzymają się."
118,"Pełna niepodległość jest istotą obowiązku, który dziś na siebie wzięliśmy. Obowiązku wobec całego narodu i historii."
119,"Kiedy historia opowie o tureckiej rewolucji, powie przede wszystkim, że była ona wyzwoleniem. Wśród różnych etapów tej emancypacji zostanie wymieniona zwłaszcza emancypacja kobiet."
120,"Pisanie historii jest równie ważne jak jej tworzenie. Jeśli pisarz nie jest wierny twórcy, niezmienna prawda przybierze charakter, który zaskoczy ludzkość."
121,"Podstawową zasadą jest to, że naród turecki powinien żyć jako naród godności i honoru. Zasada ta może być zapewniona jedynie poprzez posiadanie pełnej niepodległości. Naród pozbawiony niepodległości, bez względu na to, jak bogaty i zamożny może być, nie może być godny żadnego zachowania wyższego niż bycie sługą w obliczu cywilizowanej ludzkości."
122,"Nie przestanę, dopóki wszystkie tureckie ziemie nie zostaną wyzwolone."
123,"Pokój w domu, pokój na świecie, który jest jedną z najbardziej fundamentalnych zasad Republiki Tureckiej, musi być najważniejszym czynnikiem dobrobytu i postępu ludzkości i cywilizacji. To dla nas zaszczyt, że służyliśmy i służymy tej sprawie najlepiej jak potrafimy."
124,Pierwszym celem tureckiego rządu jest zapewnienie wolności i szczęścia ludziom oraz dbanie o naszych żołnierzy i ludność cywilną.
125,"Fundamentem Republiki Turcji jest kultura. Kultura to czytanie, rozumienie, zdolność widzenia, nadawanie sensu temu, co widać, kierowanie się intuicją, myślenie i kształcenie umysłu."
126,"Powinniśmy wykorzystać wszelkie środki publikacji, aby uprościć i wzbogacić język turecki oraz sprawić, by społeczeństwo go przyjęło. Każdy intelektualista powinien być w stanie zwrócić na to uwagę, pisząc na dowolny temat, a my powinniśmy uczynić nasz język mówiony harmonijnym i pięknym."
127,"Turcy to naród, który nie akceptuje niewoli. Naród turecki nigdy nie był zniewolony."
128,"Turecka młodzież będzie maszerować do celu, naszego wysokiego ideału, bez zatrzymywania się, bez zmęczenia. I będziemy szczęśliwi widząc to."
129,"Naród turecki udowodnił poprzez wielkie wydarzenia, że jest narodem innowacyjnym i rewolucyjnym."
130,"Naród turecki jest państwem rządzonym przez republikę, która jest administracją ludową. Państwo tureckie jest świeckie. Każdy dorosły może swobodnie wybrać swoją religię."
131,"Językiem narodu tureckiego jest turecki. Język turecki jest najpiękniejszym, najbogatszym i najłatwiejszym językiem na świecie. Z tego powodu każdy Turek bardzo kocha swój język i stara się go rozwijać... Język turecki jest świętym skarbem dla narodu tureckiego. Ponieważ naród turecki zdaje sobie sprawę, że jego moralność, tradycje, wspomnienia, zainteresowania, krótko mówiąc, wszystko, co czyni go dziś narodem, jest zachowane dzięki jego językowi. Język turecki jest sercem i umysłem narodu tureckiego."
132,"...Jest jeszcze jeden aspekt tureckiego narodu, który wydaje się być wspólny. Rzeczywiście, jeśli ktoś zwróci uwagę, Turcy mają mniej więcej taką samą moralność. Ta wysoka moralność nie przypomina moralności żadnego innego narodu. Moralność odgrywa bardzo ważną rolę w kształtowaniu narodu. Aby zrozumieć to znaczenie, nie zaszkodzi powiedzieć kilka słów o moralności. Kiedy mówię o moralności, nie mam na myśli porad zapisanych w książkach o moralności, ponieważ rzeczy, które robimy i rzeczy, których powstrzymujemy się od robienia, które nazywamy moralnością, poprzedzają rzeczy zapisane w książkach lub zalecane przez niektórych nauczycieli moralności i są wykonywane przez ludzi poza tymi słowami, tymi radami, bez zwracania na nie uwagi. Biznes jest sędzią, przełożonym teorii. To, w jaki sposób zasady moralności powinny być stosowane, można zrozumieć po zobaczeniu i doświadczeniu rzeczy, które są rozumiane jako moralne."
133,Najbardziej odpowiednią administracją dla natury i zwyczajów narodu tureckiego jest administracja republikańska.
134,"Na ścieżce postępu i cywilizacji, którą kroczy naród turecki, pochodnią, którą trzyma w rękach i umyśle, jest wiedza naukowa."
135,"Turecki nacjonalizm to zachowanie szczególnych cech i niezależnej tożsamości tureckiego społeczeństwa, przy jednoczesnym podążaniu równolegle i w harmonii ze wszystkimi nowoczesnymi narodami w międzynarodowych kontaktach i relacjach na drodze postępu i rozwoju."
136,"To miłe wydarzenie dla nas wszystkich widzieć, że Tureckie Instytucje Historyczne i Językowe stały się bardzo cennymi i ważnymi instytucjami naukowymi oświecającymi turecką egzystencję narodową. Towarzystwo Historyczne zaczęło już wypełniać swoją misję kulturalną wobec całego świata nauki dzięki organizowanym przez siebie kongresom, wystawom i artefaktom wydobytym podczas wykopalisk w Turcji."
137,"W rozumieniu Republiki Turcji kobieta, podobnie jak w całej tureckiej historii, jest istotą wysoką i honorową, zajmującą najbardziej prestiżową pozycję."
138,"Mieszkańcy Turcji, którzy założyli Republikę Turcji, nazywani są narodem tureckim."
139,Niepodległość państwa tureckiego jest święta. Musi być zabezpieczona i chroniona na zawsze.
140,"Będę bardzo szczęśliwy, jeśli Turcja da dobry przykład swojej walki z imperializmem."
141,"Naród turecki to bohaterscy synowie narodu, który przez wieki żył wolny i niezależny, a niepodległość uważał za życiową konieczność. Ten naród nie żył, nie może i nie będzie żył bez niepodległości."
142,Turcy są przyjaciółmi wszystkich cywilizowanych narodów.
143,"Godność, honor i możliwości Turków są bardzo wysokie i wielkie. Dla takiego narodu lepiej jest zginąć niż żyć w niewoli. Dlatego albo niepodległość, albo śmierć!"
144,"Wojna jest morderstwem, chyba że zagrożone jest życie narodu."
145,"Sukces na drodze do cywilizacji zależy od innowacji. Jest to jedyna droga rozwoju i postępu, aby odnieść sukces w życiu społecznym, gospodarczym, naukowym i naukowym."
146,"Podążanie ścieżką cywilizacji i odnoszenie sukcesów jest warunkiem życia. Ci, którzy zatrzymują się na tej ścieżce lub są na tyle ignoranccy i głupi, by patrzeć wstecz, a nie do przodu, są skazani na utonięcie w szalejącej powodzi cywilizacji."
147,Wolność sumienia jest absolutna i nienaruszalna i musi być uznana za jedno z najważniejszych naturalnych praw jednostki.
148,"Przyjęcie patronatu i wsparcia obcego państwa to nic innego jak przyznanie się do niekompetencji i lenistwa, do braku ludzkich cech."
149,"Nigdy nie uważamy tego, co zrobiliśmy, za wystarczające. Ponieważ jesteśmy zobowiązani i zdeterminowani, aby robić więcej i więcej. Podniesiemy nasz kraj do poziomu najbogatszych i najbardziej cywilizowanych krajów świata. Zapewnimy naszemu narodowi najszersze środki i źródła dobrobytu. Podniesiemy naszą kulturę narodową ponad poziom współczesnej cywilizacji."
150,"Życie jest krótkie. Małżeństwo to sposób, w jaki ludzie uważają za stosowne je świętować i ukoronować. Tych, którzy nie przestrzegają tej ogólnej zasady, jest niewielu. Ci, którzy są wyjątkami od tej reguły, to ci, którzy są nieszczęśliwi, nie z powodu zła pierwotnej reguły, ale dlatego, że są pod wpływem powodów, które uniemożliwiają im wiarę w tę dobrą regułę, być może dlatego, że boją się wziąć ślub. Jest niezaprzeczalnym faktem, że ludzie, życie, nie mogą istnieć bez kobiet. Ci, którzy są żonaci, zabezpieczyli niezbędny element życia i skierowali wszystkie swoje myśli i pragnienia na cel, zawód, cel. Niech fortuna sprzyja sercom i duszom małżonków!"
151,"Serce nowożeńca jest pełne życia, miłości i szczęścia. To najcenniejszy czas. Ludzie pamiętają te jasne i radosne chwile w swoim życiu jako bardzo ważne i historyczne wydarzenie w swoim życiu, zawsze czując się tak samo aż do śmierci. Nie próbowałem tego, ale doszedłem do tego wniosku, ponieważ trochę studiowałem życie i ludzi. Ci, którzy widzieli kilka różnych aspektów życia, nieuchronnie zauważą niezbadane aspekty po ślubie. Ta obserwacja może być bardzo słodka lub bardzo gorzka."
152,"Biedna kobieta oznacza kobietę, która nic nie ma. Jednak istota zwana kobietą sama w sobie jest istotą wysoką. Nie może być biedna. Nazywanie kobiety ubogą oznacza ubóstwo całej ludzkości pochodzące z jej łona."
153,"Historyczną cechą narodu tureckiego, który jest wysoko rozwiniętym społeczeństwem ludzkim, jest umiłowanie sztuk pięknych i doskonalenie się w nich. Z tego powodu naszym narodowym ideałem jest pielęgnowanie i rozwijanie wysokiego charakteru naszego narodu, niestrudzonej pracowitości, naturalnej inteligencji, oddania nauce, miłości do sztuk pięknych i poczucia jedności narodowej poprzez ciągłe i przy użyciu wszelkich środków i środków."
154,"W nadchodzących latach dołożymy większych starań, aby osiągnąć wysoki i rewolucyjny poziom kultury. Wyraźnym pragnieniem naszej głównej polityki jest wychowanie cnotliwego i silnego pokolenia, opartego na podstawach nauk fizycznych, kochającego sztuki piękne i wykwalifikowanego zarówno w wychowaniu fizycznym, jak i intelektualnym."
155,"Kiedyś przeglądałem książki i chciałem zrozumieć, co filozofowie mówią o życiu. Niektórzy z nich widzieli wszystko w czarnych barwach. ""Ponieważ jesteśmy niczym i osiągniemy zero, nie ma miejsca na radość i szczęście podczas tymczasowego życia na ziemi"" - mówili. Czytałem inne książki, napisane przez mądrzejszych ludzi. Mówili oni: ""Ponieważ koniec i tak jest zerowy, bądźmy przynajmniej radośni i pogodni, dopóki żyjemy"". Z punktu widzenia mojego własnego charakteru, podoba mi się ten drugi pogląd na życie, ale w tych granicach: Człowiek, który widzi istnienie całej ludzkości we własnej osobie, jest żałosny. Oczywiście taki człowiek zginie jako jednostka. To, co jest konieczne, aby każdy człowiek był zadowolony i szczęśliwy tak długo, jak żyje, to nie pracować dla siebie, ale dla tych, którzy przyjdą po nim. Człowiek rozumny może działać tylko w ten sposób. Pełną przyjemność i szczęście w życiu można znaleźć tylko w pracy dla honoru, istnienia i szczęścia przyszłych pokoleń..."
